Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Estimates Start After
Mexico,n/a,n/a,n/a,n/a,n/a,n/a,21.261,24.494,45.41,47.405,42.58,41.965,45.687,45.581,41.42,39.835,38.352,37.833,43.113,44.713,42.916,42.897,2010
Moldova,n/a,n/a,n/a,n/a,n/a,79.478,87.486,89.047,159.417,150.739,96.528,84.03,67.155,54.577,42.836,34.811,31.048,24.646,19.267,29.123,26.639,23.569,2010
Montenegro,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,75.73,40.261,45.305,38.59,32.623,27.503,31.876,40.691,44.069,43.073,2010
Morocco,89.149,74.229,85.957,95.485,87.965,92.479,83.293,86.16,72.937,71.848,73.674,68.411,67.148,64.381,61.676,64.554,59.37,54.619,48.227,47.95,51.093,54.152,2010
Mozambique,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,131.177,131.874,138.38,89.702,89.081,70.684,80.96,53.613,41.923,42.143,41.456,37.786,39.03,2010
Myanmar,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,110.052,89.859,109.236,140.948,107.301,88.7,84.926,81.197,68.786,49.562,42.444,44.574,42.782,45.165,2009
Namibia,n/a,n/a,n/a,17.367,17.028,18.978,20.15,19.018,21.072,22.36,19.937,22.216,21.784,24.945,27.49,26.049,23.843,18.987,17.374,15.635,18.824,25.486,2009
Nepal,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59.722,59.059,64.253,60.709,58.323,51.926,49.324,42.815,40.443,39.517,35.86,33.922,n/a
Netherlands,n/a,n/a,n/a,n/a,n/a,76.1,74.1,68.2,65.7,61.1,53.8,50.7,50.5,52,52.4,51.822,47.373,45.295,58.21,60.773,63.676,65.521,2010
New Zealand,58.977,61.318,62.359,57.789,51.911,46.011,39.422,36.591,36.572,33.952,31.772,29.797,27.91,26.108,23.769,21.88,19.43,17.353,20.293,26.073,32.025,35.313,2009
Nicaragua,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,139.157,112.09,82.569,75.52,80.896,80.337,77.415,2010
Niger,n/a,n/a,n/a,n/a,n/a,90.658,80.993,91.208,81.77,83.708,88.78,85.098,88.861,69.878,58.849,51.641,15.76,15.877,13.935,15.669,16.164,17.69,2008
Nigeria,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,84.221,87.971,68.783,63.862,52.657,28.605,11.808,12.829,11.604,15.201,17.305,15.715,2009
Norway,28.923,39.216,45.023,53.717,50.733,40.869,36.578,32.119,30.328,30.962,34.212,33.027,40.624,50.16,52.74,49.084,60.498,58.56,56.824,55.42,55.42,55.42,2009
Oman,20.382,26.562,28.434,28.095,30.678,28.532,27.58,27.133,38.573,33.738,25.376,24.383,18.146,16.658,15.506,9.649,9.621,7.542,5.086,7.971,5.697,4.018,2008
Pakistan,n/a,n/a,n/a,n/a,78.484,73.286,73.363,74.114,76.158,81.029,83.041,87.876,81.848,75.936,68.322,61.98,56.354,53.89,58.68,57.418,56.815,57.645,2010
Panama,n/a,112.736,99.186,90.84,85.201,83.357,77.429,71.589,69.143,65.609,63.73,68.999,67.99,64.056,66.396,62.607,52.597,45.642,39.151,41.231,38.696,36.152,2009
Paraguay,67.003,59.076,40.761,30.664,21.196,19.726,18.776,20.176,25.901,39.195,40.73,50.749,72.606,53.105,45.495,38.004,27.871,21.925,19.069,18.044,15.433,12.751,2009
Peru,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,42.429,41.469,43.207,47.106,44.339,37.737,33.166,30.903,25.047,27.148,24.523,21.518,2010
